Product_name,Rating,Current_price,Shipping_fee
EVGA GeForce RTX 2070 SUPER KO GAMING Video Card |  08G-P4-2072-KR |  8GB GDDR6 |  Dual Fans,4,$509.99 ,$Free Shipping
MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,26,$249.99 ,$Free Shipping
ASUS GeForce RTX 2070 Super Overclocked 8G EVO GDDR6 Dual-Fan Edition  HDMI DisplayPort Gaming Graphics Card (DUAL-RTX2070S-O8G-EVO),18,$529.99 ,$Free Shipping
MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS XS 6G OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,18,$339.99 ,$Free Shipping
SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 100419P6GL 6GB 192-Bit GDDR6 PCI Express 4.0 ATX Video Card,22,$289.99 ,$$3.99 Shipping
EVGA GeForce GTX 1660 Ti SC ULTRA GAMING |  06G-P4-1667-KR |  6GB GDDR6 |  Dual Fan |  Metal Backplate,23,$299.99 ,$Free Shipping
GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD REV2.0 4GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,23,$119.99 ,$Free Shipping
EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support BLACK EDITION GAMING Video Card |  Dual HDB Fans & RGB LED,51,"$1,099.99 ",$Free Shipping
XFX Radeon RX 5600 XT RX-56XT6DF46 Video Card THICC II PRO-14GBPS 6GB BOOST UP TO 1620M D6  3xDP HDMI,N/A,$279.99 ,$$3.99 Shipping
ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO),N/A,$349.99 ,$Free Shipping
ASRock Phantom Gaming D Radeon RX 570 DirectX 12 RX570 4G 4GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,63,$119.99 ,$$3.99 Shipping
EVGA GeForce RTX 2080 Ti XC HYBRID GAMING |  11G-P4-2384-KR |  11GB GDDR6 |  HYBRID |  RGB LED Logo |  Metal Backplate,11,"$1,399.99 ",$Free Shipping
